original_food_id,original_food_name,food_genus_id,food_genus_description,food_group,food_subgroup,food_genus_confidence,fct_name,data_reference_original_id,moisture_in_g,energy_in_kcal,energy_in_kj,nitrogen_in_g,totalprotein_in_g,totalfats_in_g,saturatedfa_in_g,monounsaturatedfa_in_g,polyunsaturatedfa_in_g,cholesterol_in_mg,carbohydrates_in_g,fibre_in_g,ash_in_g,ca_in_mg,fe_in_mg,mg_in_mg,p_in_mg,k_in_mg,na_in_mg,zn_in_mg,cu_in_mg,mn_in_mcg,i_in_mcg,se_in_mcg,vitamina_in_rae_in_mcg,thiamin_in_mg,riboflavin_in_mg,niacin_in_mg,vitaminb6_in_mg,folicacid_in_mcg,folate_in_mcg,vitaminb12_in_mcg,pantothenate_in_mg,biotin_in_mcg,vitaminc_in_mg,vitamind_in_mcg,vitamine_in_mg,phyticacid_in_mg,region
NA,Apples,1341.01,"apples, raw",Fruits and Vegetables,apples and products,h,regional-SSA-fct,NA,NA,52,NA,NA,0.2,0.2,NA,NA,NA,NA,11.4,2.4,NA,6,0.1,5,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,E
NA,"Aquatic Animals, Others",1587.01,"frog meat, fresh, raw",Animal Products,"aquatic animals, others",l,regional-SSA-fct,NA,NA,98,NA,NA,18.1,2.4,NA,NA,NA,NA,0,0,NA,7,0.3,21,NA,NA,NA,0.3,0,NA,140,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,Aquatic Plants,1594.01,"red algae, raw",Fruits and Vegetables,aquatic plants,m,regional-SSA-fct,NA,NA,26,NA,NA,0.54,0.03,NA,NA,NA,NA,6.25,0.5,NA,54,1.9,67,NA,NA,NA,0.6,0.1,NA,1470,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,Bananas,1312.01,"banana, raw",Fruits and Vegetables,bananas and products,h,regional-SSA-fct,NA,NA,89,NA,NA,1.1,0.3,NA,NA,NA,NA,20.2,2.6,NA,5,0.3,27,NA,NA,NA,0.2,0.1,NA,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,Barley,23140.05.01,"barley grain, pearled",Cereals,barley and products,m,regional-SSA-fct,NA,NA,126.434034,NA,NA,2.7,0.5,NA,NA,NA,NA,23.8,3.5,NA,11,9.4,22,NA,NA,NA,3.29,0.11,NA,10,37.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,452,E
NA,Beans,1701.02,"common beans, dried, raw",Pulses and Beans,beans and products,m ,regional-SSA-fct,NA,NA,333,NA,NA,23.6,0.8,NA,NA,NA,NA,60,24.9,NA,72,7.5,116,NA,NA,NA,2.8,0.6,NA,3,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1586,E
NA,Beer,24310.01.01,"beer, regular",Other foods,beer and products,h,regional-SSA-fct,NA,NA,41,NA,NA,0.3,0,NA,NA,NA,NA,3.5,0.2,NA,5,0,6,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,"Beverages, Alcoholic",2413.01,gin,Other foods,"beverages, alcoholic and products",m,regional-SSA-fct,NA,NA,275,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0.04,0,NA,NA,NA,0.04,0.04,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,"Beverages, Fermented",24310.04.01,"beer, sorghum grain",Cereals,"beverages, fermented and products",m,regional-SSA-fct,NA,NA,41,NA,NA,0.3,0,NA,NA,NA,NA,3.5,0.2,NA,5,0,6,NA,NA,NA,0,0,NA,3,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,"Beverages, Fermented",24310.02.01,"beer, maize grain",Cereals,"beverages, fermented and products",m,regional-SSA-fct,NA,NA,41,NA,NA,0.3,0,NA,NA,NA,NA,3.5,0.2,NA,5,0,6,NA,NA,NA,0,0,NA,3,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
