,original_food_id,original_food_name,food_genus_id,food_genus_description,food_group,food_subgroup,food_genus_confidence,fct_name,data_reference_original_id,moisture_in_g,energy_in_kcal,energy_in_kj,nitrogen_in_g,totalprotein_in_g,totalfats_in_g,saturatedfa_in_g,monounsaturatedfa_in_g,polyunsaturatedfa_in_g,cholesterol_in_mg,carbohydrates_in_g,fibre_in_g,ash_in_g,ca_in_mg,fe_in_mg,mg_in_mg,p_in_mg,k_in_mg,na_in_mg,zn_in_mg,cu_in_mg,mn_in_mcg,i_in_mcg,se_in_mcg,vitamina_in_rae_in_mcg,thiamin_in_mg,riboflavin_in_mg,niacin_in_mg,vitaminb6_in_mg,folicacid_in_mcg,folate_in_mcg,vitaminb12_in_mcg,pantothenate_in_mg,biotin_in_mcg,vitaminc_in_mg,vitamind_in_mcg,vitamine_in_mg,phyticacid_in_mg
1,NA,Apples,1341.01,"apples, raw",Fruits and Vegetables,Apples and products,h,regional-SSA-fct,NA,NA,63.814531,NA,NA,0.2,0.1,NA,NA,NA,NA,13,2.3,NA,2,0.3,3,NA,NA,NA,0.09,0.07,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55
2,NA,Aquatic Plants,1594.01,"red algae, raw",Fruits and Vegetables,Aquatic Plants,m,regional-SSA-fct,NA,NA,26,NA,NA,0.54,0.03,NA,NA,NA,NA,6.25,0.5,NA,54,1.9,67,NA,NA,NA,0.6,0.1,NA,1470,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
3,NA,Bananas,1312.01,"banana, raw",Fruits and Vegetables,Bananas and products,h,regional-SSA-fct,NA,NA,91.300191,NA,NA,1.3,0.3,NA,NA,NA,NA,18.8,1.7,NA,2,0.6,21,NA,NA,NA,0.23,0.05,NA,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,NA,Barley,23140.05.01,"barley grain, pearled",Cereals,Barley and products,m,regional-SSA-fct,NA,NA,126.434034,NA,NA,2.7,0.5,NA,NA,NA,NA,23.8,3.5,NA,11,1.3,22,NA,NA,NA,0.82,0.11,NA,10,37.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,452
5,NA,Beans,1701.02,"common beans, dried, raw",Pulses and Beans,Beans and products,m,regional-SSA-fct,NA,NA,346.797323,NA,NA,16.9,1.3,NA,NA,NA,NA,46.2,19.4,NA,85,5.9,164,NA,NA,NA,2.54,0.88,NA,3,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1586
6,NA,Beer,24310.01.01,"beer, regular",Other foods,Beer and products,h,regional-SSA-fct,NA,NA,41.108986,NA,NA,0.3,0,NA,NA,NA,NA,3.7,0,NA,4,0,9,NA,NA,NA,0.01,0.01,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
7,NA,"Beverages, Alcoholic",2413.01,gin,Other foods,"Beverages, Alcoholic and products",m,regional-SSA-fct,NA,NA,249.521988,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0.04,0.02,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8,NA,"Beverages, Fermented",24310.04.01,"beer, sorghum grain",Cereals,"Beverages, Fermented and products",m,regional-SSA-fct,NA,NA,28.919694,NA,NA,0.6,0,NA,NA,NA,NA,3,0.1,NA,5,0.2,14,NA,NA,NA,0.14,0.02,NA,3,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
9,NA,Bovine Meat,21111.02.01,"beef, without bones, fresh, raw",Animal Products,Bovine Meat and products,m,regional-SSA-fct,NA,NA,203.632887,NA,NA,19.2,14.2,NA,NA,NA,NA,0,0,NA,13,0.7,19,NA,NA,NA,3.42,0.32,NA,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
10,NA,"Butter, Ghee",22241.02.01,ghee,Animal Products,"Butter, Ghee and products",m,regional-SSA-fct,NA,NA,882.648183,NA,NA,0,99.8,NA,NA,NA,NA,0,0,NA,0,0.2,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
